model,subset,train_engines,test_engines,mae,rmse,critical_engines,risk_decision_accuracy,critical_recall,critical_false_negatives,high_priority_recall,high_priority_false_negatives,average_predicted_rul,uses_cycle_feature,model_trees,validation_mae,validation_score,window_cycles,window_stride,training_windows
Tuned XGBoost,FD001,100,100,9.891742706298828,12.935687689149384,21,0.79,0.84,4,0.8717948717948718,5,74.60350799560547,True,900.0,8.948286122896455,9.295508345118677,,,
Tuned XGBoost,FD002,260,259,19.338882446289062,27.61750353425964,62,0.7876447876447876,0.9672131147540984,2,0.9019607843137256,10,72.94869232177734,True,900.0,14.876821714116817,17.0393885590366,,,
Tuned XGBoost,FD003,100,100,10.175686836242676,13.794082721937274,18,0.81,0.9,2,0.8292682926829268,7,76.2842025756836,True,700.0,10.428992492773316,11.422208232257711,,,
Tuned XGBoost,FD004,249,248,20.95283889770508,28.620941007593657,48,0.7298387096774194,0.8301886792452831,9,0.8681318681318682,12,78.90105438232422,True,700.0,19.654277302785356,22.415072757330808,,,
GRU Sequence Model,FD001,100,100,13.991739273071289,19.320084252341605,23,0.7,0.8,5,0.8461538461538461,6,75.45169067382812,,,,,30.0,10.0,1906.0
GRU Sequence Model,FD002,260,259,20.262191772460938,30.16633777193235,63,0.7722007722007722,0.9672131147540983,2,0.8921568627450981,11,73.90228271484375,,,,,30.0,10.0,4971.0
GRU Sequence Model,FD003,100,100,12.584759712219238,17.185053980778346,18,0.74,0.85,3,0.8536585365853658,6,78.72384643554688,,,,,30.0,10.0,2322.0
GRU Sequence Model,FD004,249,248,24.306941986083984,32.14974461953878,49,0.7016129032258065,0.8113207547169812,10,0.8461538461538461,14,79.40939331054688,,,,,30.0,10.0,5738.0
TCN Sequence Model,FD001,100,100,14.867218971252441,19.257098585905034,16,0.66,0.64,9,0.8461538461538461,6,78.86608123779297,,,,,30.0,10.0,1906.0
TCN Sequence Model,FD002,260,259,20.801528930664062,30.168994230677047,60,0.7644787644787645,0.9344262295081968,4,0.9313725490196079,7,72.68110656738281,,,,,30.0,10.0,4971.0
TCN Sequence Model,FD003,100,100,13.93487548828125,18.741628990740438,19,0.74,0.85,3,0.7804878048780488,9,78.2069091796875,,,,,30.0,10.0,2322.0
TCN Sequence Model,FD004,249,248,24.73065948486328,32.00156208040379,49,0.6935483870967742,0.7924528301886793,11,0.8461538461538461,14,79.98020935058594,,,,,30.0,10.0,5738.0
